ticker,year,start_date,end_date,n_price_days,n_return_days,start_price,end_price,total_return,annualized_return,annualized_volatility,sharpe_ratio
DBA,2021,2021-01-04,2021-12-31,252,252,14.2174,17.4297,0.22594145202357674,0.21253903946057218,0.14586367270776263,1.114321588393147
DBA,2022,2022-01-03,2022-12-30,251,251,17.3591,17.8433,0.027893151142628136,0.038186691659927684,0.171349435476941,-0.06894279112849526
DBA,2023,2023-01-03,2023-12-29,250,250,17.6748,19.2066,0.08666576142304305,0.08205434532250776,0.12540384379244376,0.2556089538655688
DBA,2024,2024-01-02,2024-12-31,252,252,19.3921,25.9053,0.3358687300498657,0.31961291911534817,0.20143538057336968,1.3384586081547174
DBA,2025,2025-01-02,2025-12-31,250,250,25.7509,25.52,-0.008966676892846581,0.0028606739145193563,0.1897188197924674,-0.24846942510524864
ASHR,2016,2016-01-04,2016-12-30,252,251,22.586,20.6058,-0.08767378021783401,-0.05698588346324769,0.26550471068030196,-0.4029528635824128
ASHR,2017,2017-01-03,2017-12-29,251,251,20.9925,27.5036,0.3101631535072049,0.29953069212864125,0.13802739575370557,1.8078345299936025
ASHR,2018,2018-01-02,2018-12-31,251,251,28.0176,19.4377,-0.3062325109930901,-0.30983270401935914,0.27763935046786553,-1.2960436026556934
ASHR,2019,2019-01-02,2019-12-31,252,252,19.2871,26.5333,0.37570189401206,0.3404296189973287,0.24165132148940943,1.2018540482513234
ASHR,2020,2020-01-02,2020-12-31,253,253,27.0883,36.1634,0.3350191780215075,0.3583407557775663,0.3157071188391401,0.976667098643008
ASHR,2021,2021-01-04,2021-12-31,252,252,36.705,35.595,-0.030241111565181833,0.008079119882252406,0.21923824400258643,-0.19121153021665802
ASHR,2022,2022-01-03,2022-12-30,251,251,35.5313,25.7986,-0.27391905165304964,-0.28202116758912454,0.28766381671945324,-1.1541985758776578
ASHR,2023,2023-01-03,2023-12-29,250,250,26.1025,22.6076,-0.1338913897136289,-0.11384675374229158,0.19653474861056897,-0.8336782930277219
ASHR,2024,2024-01-02,2024-12-31,252,252,22.1639,25.9688,0.1716710506724899,0.19479432943936947,0.3344933061146006,0.4328766130517469
ASHR,2025,2025-01-02,2025-12-31,250,250,25.2165,32.71,0.297166537782801,0.25365606676472485,0.2052049853311958,0.992451847288354
ELV,2016,2016-01-04,2016-12-30,252,251,133.1222,137.2055,0.030673321204126802,0.06368633853785417,0.25900551114209347,0.05284188153952324
ELV,2017,2017-01-03,2017-12-29,251,251,136.976,214.6825,0.5673001109683449,0.4751791024800819,0.22599175173577765,1.881392126988722
ELV,2018,2018-01-02,2018-12-31,251,251,216.1169,251.145,0.16207941165174966,0.1840253348746454,0.2307465907844835,0.5808334347172418
ELV,2019,2019-01-02,2019-12-31,252,252,243.8678,288.822,0.18433839973953114,0.18691344163750767,0.3077254705039826,0.4449207321489358
ELV,2020,2020-01-02,2020-12-31,253,253,287.7127,307.0485,0.06720523633471864,0.20971684810128546,0.5456690555870201,0.29269911215592975
ELV,2021,2021-01-04,2021-12-31,252,252,304.6483,443.2691,0.45501911548497054,0.39618606340607965,0.24074259064848783,1.4379925981254873
ELV,2022,2022-01-03,2022-12-30,251,251,444.5313,491.7358,0.10618937294179287,0.1412716877943601,0.27201164204401823,0.33554331391297615
ELV,2023,2023-01-03,2023-12-29,250,250,481.4116,457.8588,-0.04892445466623585,-0.03946565936710696,0.25466384433082284,-0.3513088385286683
ELV,2024,2024-01-02,2024-12-31,252,252,464.9176,361.8969,-0.22158915902516918,-0.20343745671007718,0.24985038673243296,-1.0143568718245997
ELV,2025,2025-01-02,2025-12-31,250,250,356.4265,345.2,-0.031497377439668406,0.01562539512518994,0.3529658585334146,-0.0973879032313146
BNO,2016,2016-01-04,2016-12-30,252,251,12.32,15.68,0.2727272727272727,0.3301966830142121,0.4215175220154013,0.6647331804251173
