ticker,vol_2020,vol_2021,vol_2022,vol_2023,vol_2024,vol_2025,vol_combined,start_date
XLC,984334759.0,1054522749.0,1522359501.0,1429865538.0,1051981917.0,1153071065.0,7196135529.0,2018-06-19
SVXY,1952717666.0,1781158390.0,1712119296.0,906913164.0,426834084.0,369791349.0,7149533949.0,2011-10-04
PSQ,384360396.9999843,396868643.29999113,1695060815.0000606,1961962416.3999805,1056446015.5999967,1594185745.0,7088884032.300013,2006-06-21
XRT,1189371010.0,724353039.0,1239910986.0,1440669427.0,1232120742.0,1234942696.0,7061367900.0,2006-06-22
SCHP,758916380.0,1512702466.0,2255978162.0,966319363.0,658628449.0,869217009.0,7021761829.0,2010-08-05
VNQ,1672019845.0,1125381583.0,1323738328.0,1241934809.0,885673159.0,726403425.0,6975151149.0,2004-09-29
SPIB,517153100.0,878193387.0,1424034977.0,1579012020.0,1114972734.0,1426767947.0,6940134165.0,2009-02-11
JPST,889754907.0,753811093.0,1272647507.0,1255286697.0,1161852950.0,1544213513.0,6877566667.0,2017-05-19
QID,157036990.60001102,475374410.0400052,877702367.3999406,912660528.1999749,1528995534.3000033,2896185385.0,6847955215.539935,2006-07-13
EWH,1976149411.0,1432145304.0,1157103116.0,725302162.0,672934487.0,849899517.0,6813533997.0,2004-01-02
VCSH,950951107.0,910827925.0,1651803204.0,1295141823.0,869967737.0,1125669015.0,6804360811.0,2009-11-23
RSP,445936236.0,641702719.0,659280736.0,1063668413.0,1287298496.0,2633481805.0,6731368405.0,2003-05-01
SHY,1063202811.0,741527855.0,1543876212.0,1398378591.0,1027533067.0,955099039.0,6729617575.0,2002-07-30
GUSH,2894741264.8,2043704198.0,1081600234.0,311291858.0,168563971.0,227254207.0,6727155732.8,2015-05-29
SCHB,1935238444.0,687626092.0,1485840119.0,585684274.0,574804336.0,1455461450.0,6724654715.0,2009-11-03
SPLG,882517077.0,629705750.0,1234482533.0,531050958.0,1655787137.0,1738503824.0,6672047279.0,2007-05-16
JETS,1063267675.0,1630324742.0,1697114857.0,938224651.0,647903360.0,690948633.0,6667783918.0,2015-04-30
VGK,1420569184.0,1304473317.0,1783371301.0,744652481.0,495508326.0,819706925.0,6568281534.0,2005-03-10
UNG,308769090.0999997,326365609.5000002,449776991.50000006,1267330678.4,1819808282.6,2378060469.0,6550111121.1,2007-04-18
AMDL,0.0,0.0,0.0,0.0,520557244.0,5981035405.0,6501592649.0,2024-03-18
VTEB,327651059.0,346424998.0,1778288065.0,1247409178.0,1066938918.0,1643235699.0,6409947917.0,2015-08-25
MCHI,1146904811.0,1055813574.0,1583284627.0,1017440121.0,938637997.0,643429844.0,6385510974.0,2011-03-31
IVV,1271775281.0,905651590.0,1221839284.0,852245156.0,964071352.0,1165500979.2000105,6381083642.20001,2005-01-03
RWM,559419126.0,441029669.0,963919361.0,561109052.0,970229970.0,2841791836.0,6337499014.0,2007-01-25
MSOS,13314646.0,227977928.0,432805828.0,943912306.0,2407788953.0,2216323704.0,6242123365.0,2020-09-02
INDA,1343239462.0,874660872.0,867433891.0,617584570.0,1094411903.0,1424747430.0,6222078128.0,2012-02-03
SPTL,286231931.0,755053631.0,1254404792.0,1386498395.0,1134623173.0,1353508080.0,6170320002.0,2007-05-30
VOO,1095341147.0,853498732.0,1140894265.0,808507035.0,924350583.0,1324217430.9000158,6146809192.900016,2010-09-09
KOLD,10931671.499999994,99957455.90000014,3384648951.2,883403364.0,410668954.0,1348893811.0,6138504207.6,2011-10-06
ICLN,539195419.0,1508786274.0,1721639320.0,797523513.0,835824489.0,708254900.0,6111223915.0,2008-06-25
IJR,1413084653.0,995940284.0,983397420.0,915606689.0,783275464.0,972389713.0,6063694223.0,2004-01-02
VXUS,1008735713.0,878475957.0,1423204422.0,656852248.0,754575893.0,1060533410.0,5782377643.0,2011-01-28
EWY,1214596962.0,915261750.0,955480935.0,859967567.0,799228867.0,969145294.0,5713681375.0,2004-01-02
ETHE,247362665.0,1656414691.0,950334411.0,522611352.0,995123834.0,1327388455.0,5699235408.0,2019-06-20
EZU,1501727525.0,1074445311.0,1408903365.0,751477022.0,474623666.0,455781313.0,5666958202.0,2000-07-31
SPDW,852647274.0,507339248.0,1637925202.0,856824911.0,711418793.0,1005860606.0,5572016034.0,2007-05-16
IGV,850351413.0,908647099.0,1187577843.0,762020329.0,763182258.0,983128625.0,5454907567.0,2002-09-03
SCHH,663483681.0,331682071.0,693636424.0,767836661.0,939325720.0,1992999260.0,5388963817.0,2011-01-13
VEU,1304816689.0,748527083.0,1433728597.0,652164056.0,562983842.0,637720671.0,5339940938.0,2007-03-08
IGSB,747386222.0,863319115.0,1129927120.0,1096821335.0,696299270.0,753530718.0,5287283780.0,2007-05-16
NVDX,0.0,0.0,0.0,3964681.0,1383510797.0,3797079858.0,5184555336.0,2023-10-19
EWG,1500636591.0,812118801.0,1452757606.0,553655269.0,261807837.0,595005827.0,5175981931.0,2000-01-03
DIA,1098156399.0,863095503.0,1031172638.0,673408933.0,678843986.0,756767617.400007,5101445076.400007,2000-01-03
MUB,384086690.0,333308507.0,1365201963.0,889677179.0,873813873.0,1203411033.0,5049499245.0,2007-09-10
EWA,1032179586.0,836381024.0,1509617830.0,508373039.0,481793489.0,674378541.0,5042723509.0,2000-01-03
SGOV,5147857.0,11566401.0,250117238.0,714214153.0,1132720600.0,2904270156.0,5018036405.0,2020-05-28
SRLN,225833982.0,594309488.0,1417063515.0,620921166.0,912482949.0,1192073798.0,4962684898.0,2013-04-04
VTI,1214486425.0,901870578.0,928780032.0,614478819.0,581437556.0,707297750.1999944,4948351160.199994,2001-06-15
BNDX,810357769.0,767827699.0,819095798.0,717858323.0,831739662.0,948268716.0,4895147967.0,2013-06-04
ACWI,1029167473.0,833196326.0,1081526058.0,698648011.0,607978651.0,639250494.0,4889767013.0,2008-03-28
HYLB,1026145198.0,827143335.0,1279685716.0,916349110.0,429607181.0,408358151.0,4887288691.0,2016-12-07
TBT,545952961.0,1386034515.0,1888508491.0,764341047.0,180243194.0,110469775.0,4875549983.0,2008-05-01
SCHO,746040662.0,549163871.0,1046146979.0,1077398948.0,640098600.0,756511241.0,4815360301.0,2010-08-05
TMF,31075030.899999835,34543882.69999817,169216128.7,850745160.7000132,2027724480.0,1691093210.0,4804397893.000011,2009-04-16
SPLV,1111627935.0,892199264.0,1188429461.0,550797041.0,429566260.0,623285534.0,4795905495.0,2011-05-05
